fund_id,Fund,Fund Link,Fund Performance Link,Structure,Manager,Manager Link,Trustee/Custodian,Asset Class Tilt,Benchmark,Liquidity Window,Management Fee,Front/Exit Load,ESG Policy,Notes,Offer Link
utt.liquid,UTT Liquid Fund,https://uttamis.co.tz/products/liquid_fund,https://uttamis.co.tz/fund-performance,Open-end Money Market,UTT AMIS,https://uttamis.co.tz,CRDB Bank,"100% money market & debt instruments (T-bills, call deposits)",7-year Treasury bond weighted average yield,Repurchase processed within 3 working days,1.8% of NAV; custodian 0.1%; other charges 0.35% (total capped at 2.25%),No entry or exit load,,Largest collective investment scheme; very liquid,https://www.uttamis.co.tz/docs/reports/Liquid Fund - Offer Document.pdf
utt.bond,UTT Bond (Hatifungani) Fund,https://uttamis.co.tz/products/bond_fund,https://uttamis.co.tz/fund-performance,Open-end Bond,UTT AMIS,https://uttamis.co.tz,CRDB Bank,"Money market & debt instruments including Treasury bonds, bills, bank placements & some corporate bonds",Weighted average yield of 7‑year Treasury bond,Repurchase processed within 3 working days,1.8% of NAV; custodian 0.1%; other charges 0.6% (charges capped at 2.4%),No entry or exit load,,Monthly interest distributions,https://uttamis.co.tz/docs/reports/Bond%20Fund%20Offer%20Document%20ENGLISH.pdf
utt.umoja,UTT Umoja Fund,https://uttamis.co.tz/products/umoja_fund,https://uttamis.co.tz/fund-performance,Open-end Balanced,UTT AMIS,https://uttamis.co.tz,CRDB Bank,Balanced (~50% equity) investing in equities and fixed-income securities,50% Tanzania Share Index + 50% 7-year bond yield (approx),Liquidity period not specified; repurchase processed on forward pricing,1.8% of NAV; custodian 0.1%; other charges 0.6% (charges capped at 2.4%),No entry or exit load,,First collective investment scheme; diversified growth,https://www.uttamis.co.tz/docs/reports/Umoja Fund - Offer Document.pdf
utt.wekeza,Wekeza Maisha Fund,https://uttamis.co.tz/products/wekeza_maisha,https://uttamis.co.tz/fund-performance,Open-end Balanced/Insurance,UTT AMIS,https://uttamis.co.tz,CRDB Bank,Mixed equities and bonds with life insurance rider,50% Tanzania Share Index + 50% 7‑year bond yield (approx),5‑year lock-in; partial redemptions allowed after lock‑in,1.5% of NAV; custodian 0.1%; other charges 0.9% (charges capped at 2.5%),Service charge on partial redemptions (approximately 2%),,Includes life insurance rider,https://uttamis.co.tz/docs/reports/Wekeza Maisha Offer Documet ENGLISH.pdf
utt.watoto,Watoto Fund,https://uttamis.co.tz/products/watoto_fund,https://uttamis.co.tz/fund-performance,Open-end Balanced (child plan),UTT AMIS,https://uttamis.co.tz,CRDB Bank,Mixed equities and bonds,50% Tanzania Share Index + 50% 7‑year bond yield (approx),Withdrawals allowed after age 12,1.5% of NAV; custodian 0.1%; other charges 0.8% (charges capped at 2.4%),1% exit fee if redeemed within 3 years,,Designed for children’s long-term savings,https://www.uttamis.co.tz/docs/reports/Watoto Fund Offer Document ENGLISH.pdf
utt.jikimu,Jikimu Fund,https://uttamis.co.tz/products/jikimu_fund,https://uttamis.co.tz/fund-performance,Open-end Income-Balanced,UTT AMIS,https://uttamis.co.tz,CRDB Bank,Approximately 65% debt instruments and 35% equity,1‑year Treasury‑bill yield,Repurchase processed on forward pricing (T+10 days not explicitly confirmed),1.8% of NAV; custodian 0.1%; other charges 0.6% (charges capped at 2.4%),2% if redeemed <1 yr; 1.5% if redeemed <2 yrs; 1% if redeemed <3 yrs,,Quarterly/annual income distributions,https://www.uttamis.co.tz/docs/reports/Jikimu Fund - Offer Document.pdf
whi.faida,Faida Fund,https://www.whi.go.tz/faida-fund/,https://www.whi.go.tz/NavData/NavEnglish.php,Open-end Money‑Market,Watumishi Housing Investments,https://www.whi.go.tz,CRDB Bank,"Invests 100% in money‑market and debt instruments (T‑bills, deposits and bonds)",2‑year Government of Tanzania bond rate,Lock‑in period up to 3 months; repurchase proceeds credited within 1‑3 working days,1.8% of NAV; custodian 0.1%; other charges 0.60% (charges capped at 2.5%),No entry or exit load,,Low-ticket cash alternative,https://www.whi.go.tz/wp-content/uploads/2022/10/24-FAIDA-FUND-PROSPECTUS-ENGLISH-VERSION-21-FNL.pdf
zansec.timiza,Timiza Fund,https://zansec.co.tz/Timiza-Fund.php,https://zansec.co.tz/nav.php,Open-end Balanced,Zan Securities,https://zansec.co.tz,Mwanga Hakika Bank,Invests in a mix of bonds and equities (~50% equity),10‑year Treasury bond yield + 0.5%,Repurchase processed within 2 working days,~1.3% management fee (official document not located; assumed),No entry or exit load,,First private-sector collective investment scheme,https://zansec.co.tz/uploads/formuploads/TIMIZA Teaser.pdf
itrust.icash,iCash Fund,https://itrust.co.tz/services/i-invest,https://itrust.co.tz/services/i-invest,Open-end Money‑Market,iTrust Finance,https://itrust.co.tz,KCB Bank,"Treasury bills, call deposits and other short‑term instruments",364‑day Treasury Bill Weighted Average Yield,Repurchase processed within 3 working days,Management fee not explicitly stated (likely around 1%),No entry or exit load,,Low‑risk cash alternative,https://itrust.co.tz/prospectus/pdf/iCash Fund Offer ENG.pdf
itrust.iSave,iSave Fund,https://itrust.co.tz/services/i-invest,https://itrust.co.tz/services/i-invest,Open-end Defensive Balanced,iTrust Finance,https://itrust.co.tz,KCB Bank,Defensive mix of primarily fixed‑income securities,50% T-bill rate + Consumer Price Index + α,Repurchase processed within 3 working days,1.6% of NAV (management fee); custodian 0.1%; exit fee 1%,1% exit fee (no entry fee),,Medium‑term savings fund,https://itrust.co.tz/prospectus/pdf/iSave Fund Offer ENG.pdf
itrust.iIncome,iIncome Fund (USD),https://itrust.co.tz/services/i-invest,https://itrust.co.tz/services/i-invest,Open-end USD Fixed‑Income,iTrust Finance,https://itrust.co.tz,KCB Bank,USD denominated sovereign and corporate bonds,364‑day Treasury bill (USD) or comparable rate,Repurchase processed within 3 working days,Management fee unknown (likely around 1.5%); custodian 0.1%,No entry or exit load,,USD denominated fixed income fund,https://itrust.co.tz/prospectus/pdf/iIncome Fund Offer ENG.pdf
itrust.Imaan,Imaan Fund,https://itrust.co.tz/services/i-invest,https://itrust.co.tz/services/i-invest,Open-end Shariah Fixed‑Income,iTrust Finance,https://itrust.co.tz,KCB Bank,Sukuk and Sharia‑compliant deposits,Sharia index,Repurchase processed within 3 working days,Management fee around 2% (estimated); custodian 0.1%,No entry or exit load,Sharia‑compliant,Provides halal fixed-income exposure,https://itrust.co.tz/prospectus/pdf/Imaan Fund Offer ENG.pdf
itrust.iGrowth,iGrowth Fund,https://itrust.co.tz/services/i-invest,https://itrust.co.tz/services/i-invest,Open-end Balanced Growth,iTrust Finance,https://itrust.co.tz,KCB Bank,Invests around 60% of assets in equities and the balance in bonds,Weighted average yield of Treasury bonds and DSE Tanzania Share Index,Repurchase processed within 3 working days,1.6% of NAV (management fee); custodian 0.1%; exit fee 1%,1% exit fee (no entry fee),,Growth‑oriented balanced fund,https://itrust.co.tz/prospectus/pdf/iGrowth Fund Offer ENG.pdf
itrust.iDollar,iDollar Fund,https://itrust.co.tz/services/i-invest,https://itrust.co.tz/services/i-invest,Open-end USD Money‑Market,iTrust Finance,https://itrust.co.tz,KCB Bank,USD call deposits and short‑term USD Treasury bills,USD Treasury bill rate,Repurchase processed within 2 working days,Management fee not specified (likely around 1%),No entry or exit load,,Recently launched USD money‑market fund,https://itrust.co.tz/prospectus/pdf/iDollar Fund Offer ENG.pdf
sanlam.,Sanlam Pesa Money Market Fund,https://invest-tz.sanlamallianzinvestments.com/sw,https://invest-tz.sanlamallianzinvestments.com/sw,Open-end Money‑Market,Sanlam Investments East Africa,https://invest-tz.sanlamallianzinvestments.com/sw,Not specified,"Fixed‑income securities such as Treasury bills & bonds, high‑quality corporate bonds and bank deposits",Not specified (aims to deliver yield above bank deposits),Withdrawals processed within 2–3 working days,Management fee 2% (rates published net of fee),"No entry or exit load; frequency charge of TZS 5,000 for additional withdrawals in a month",,Mobile‑friendly unit trust platform,https://edgepub.s3.af-south-1.amazonaws.com/unit-trust/fund-updates/ke/Product_Guide_KE.pdf
sanlam.,Sanlam USD Fixed‑Income Fund,,,Open-end USD Fixed‑Income,Sanlam Investments East Africa,https://invest-tz.sanlamallianzinvestments.com/sw,Not specified,"USD‑denominated short‑term cash‑equivalent securities (Treasury bills & bonds, high‑quality corporate bonds, bank deposits)",Not specified (aims to deliver yield above bank deposits),Withdrawals processed within 3 working days,Management fee 1.5% (per product guide),No entry or exit load; frequency charge may apply,,USD fixed‑income fund with capital preservation objective,
orbit.inuka,Orbit Money‑Market Fund (Inuka),https://orbit.co.tz/inuka-fund,https://orbit.co.tz/inuka-fund,Open-end Money‑Market,Orbit Securities,https://orbit.co.tz,Not specified,Money‑market instruments and highly liquid Treasury securities,Not specified,Repurchase requests processed within 1–3 days,Management fee 2% of NAV (custodian 0.15%; total charges capped at 3% of NAV),No entry or exit load,,Cross‑border money‑market fund,